Date,Sell
2020-11-19,23270.0
2020-11-20,23265.0
2020-11-21,23265.0
2020-11-22,23265.0
2020-11-23,23240.0
2020-11-24,23250.0
2020-11-25,23250.0
2020-11-26,23260.0
2020-11-27,23260.0
2020-11-28,23260.0
2020-11-29,23260.0
2020-11-30,23230.0
2020-12-01,23230.0
2020-12-02,23230.0
2020-12-03,23230.0
2020-12-04,23220.0
2020-12-05,23220.0
2020-12-06,23220.0
2020-12-07,23220.0
2020-12-08,23220.0
2020-12-09,23220.0
2020-12-10,23220.0
2020-12-11,23220.0
2020-12-12,23220.0
2020-12-13,23220.0
2020-12-14,23220.0
2020-12-15,23220.0
2020-12-16,23220.0
2020-12-17,23220.0
2020-12-18,23220.0
2020-12-19,23220.0
2020-12-20,23220.0
2020-12-21,23220.0
2020-12-22,23220.0
2020-12-23,23220.0
2020-12-24,23220.0
2020-12-25,23220.0
2020-12-26,23220.0
2020-12-27,23220.0
2020-12-28,23220.0
2020-12-29,23220.0
2020-12-30,23190.0
2020-12-31,23215.0
2021-01-01,23215.0
2021-01-02,23215.0
2021-01-03,23215.0
2021-01-04,23190.0
2021-01-05,23190.0
2021-01-06,23190.0
2021-01-07,23170.0
2021-01-08,23150.0
2021-01-09,23150.0
2021-01-10,23150.0
2021-01-11,23160.0
2021-01-12,23160.0
2021-01-13,23160.0
2021-01-14,23160.0
2021-01-15,23160.0
2021-01-16,23160.0
2021-01-17,23160.0
2021-01-18,23160.0
2021-01-19,23160.0
2021-01-20,23165.0
2021-01-21,23165.0
2021-01-22,23165.0
2021-01-23,23165.0
2021-01-24,23165.0
2021-01-25,23165.0
2021-01-26,23160.0
2021-01-27,23160.0
2021-01-28,23150.0
2021-01-29,23140.0
2021-01-30,23140.0
2021-01-31,23140.0
2021-02-01,23130.0
2021-02-02,23110.0
2021-02-03,23120.0
2021-02-04,23110.0
2021-02-05,23090.0
2021-02-06,23090.0
2021-02-07,23090.0
2021-02-08,23060.0
2021-02-09,23090.0
2021-02-10,23090.0
2021-02-11,23090.0
2021-02-12,23090.0
2021-02-13,23090.0
2021-02-14,23090.0
2021-02-15,23090.0
2021-02-16,23090.0
2021-02-17,23090.0
2021-02-18,23090.0
2021-02-19,23105.0
2021-02-20,23105.0
2021-02-21,23105.0
2021-02-22,23110.0
2021-02-23,23120.0
2021-02-24,23120.0
2021-02-25,23110.0
2021-02-26,23100.0
2021-02-27,23100.0
2021-02-28,23100.0
2021-03-01,23110.0
2021-03-02,23120.0
2021-03-03,23120.0
2021-03-04,23110.0
2021-03-05,23125.0
2021-03-06,23125.0
2021-03-07,23125.0
2021-03-08,23140.0
2021-03-09,23140.0
2021-03-10,23140.0
2021-03-11,23140.0
2021-03-12,23140.0
2021-03-13,23140.0
2021-03-14,23140.0
2021-03-15,23170.0
2021-03-16,23165.0
2021-03-17,23160.0
2021-03-18,23160.0
2021-03-19,23160.0
2021-03-20,23160.0
2021-03-21,23160.0
2021-03-22,23170.0
2021-03-23,23170.0
2021-03-24,23170.0
2021-03-25,23190.0
2021-03-26,23175.0
2021-03-27,23175.0
2021-03-28,23175.0
2021-03-29,23160.0
2021-03-30,23160.0
2021-03-31,23170.0
2021-04-01,23170.0
2021-04-02,23160.0
2021-04-03,23160.0
2021-04-04,23160.0
2021-04-05,23160.0
2021-04-06,23180.0
2021-04-07,23180.0
2021-04-08,23180.0
2021-04-09,23160.0
2021-04-10,23160.0
2021-04-11,23160.0
2021-04-12,23160.0
2021-04-13,23160.0
2021-04-14,23160.0
2021-04-15,23160.0
2021-04-16,23160.0
2021-04-17,23160.0
2021-04-18,23160.0
2021-04-19,23165.0
2021-04-20,23170.0
2021-04-21,23170.0
2021-04-22,23165.0
2021-04-23,23155.0
2021-04-24,23155.0
2021-04-25,23155.0
2021-04-26,23150.0
2021-04-27,23140.0
2021-04-28,23140.0
2021-04-29,23140.0
2021-04-30,23140.0
2021-05-01,23140.0
2021-05-02,23140.0
2021-05-03,23140.0
2021-05-04,23150.0
2021-05-05,23150.0
2021-05-06,23150.0
2021-05-07,23160.0
2021-05-08,23160.0
2021-05-09,23160.0
2021-05-10,23150.0
2021-05-11,23160.0
2021-05-12,23160.0
2021-05-13,23140.0
2021-05-14,23150.0
2021-05-15,23150.0
2021-05-16,23150.0
2021-05-17,23140.0
2021-05-18,23150.0
2021-05-19,23150.0
2021-05-20,23150.0
2021-05-21,23150.0
2021-05-22,23150.0
2021-05-23,23150.0
2021-05-24,23160.0
2021-05-25,23160.0
2021-05-26,23160.0
2021-05-27,23140.0
2021-05-28,23140.0
2021-05-29,23140.0
2021-05-30,23140.0
2021-05-31,23145.0
2021-06-01,23145.0
2021-06-02,23145.0
2021-06-03,23140.0
2021-06-04,23150.0
2021-06-05,23150.0
2021-06-06,23150.0
2021-06-07,23070.0
2021-06-08,23060.0
2021-06-09,23060.0
2021-06-10,23040.0
2021-06-11,23050.0
2021-06-12,23050.0
2021-06-13,23050.0
2021-06-14,23050.0
2021-06-15,23050.0
2021-06-16,23050.0
2021-06-17,23060.0
2021-06-18,23110.0
2021-06-19,23110.0
2021-06-20,23110.0
2021-06-21,23120.0
2021-06-22,23120.0
2021-06-23,23120.0
2021-06-24,23100.0
2021-06-25,23110.0
2021-06-26,23110.0
2021-06-27,23110.0
2021-06-28,23120.0
2021-06-29,23120.0
2021-06-30,23120.0
2021-07-01,23110.0
2021-07-02,23100.0
2021-07-03,23100.0
2021-07-04,23100.0
2021-07-05,23100.0
2021-07-06,23100.0
2021-07-07,23100.0
2021-07-08,23120.0
2021-07-09,23100.0
2021-07-10,23100.0
2021-07-11,23100.0
2021-07-12,23120.0
2021-07-13,23120.0
2021-07-14,23110.0
2021-07-15,23120.0
2021-07-16,23110.0
2021-07-17,23110.0
2021-07-18,23110.0
2021-07-19,23120.0
2021-07-20,23130.0
2021-07-21,23130.0
2021-07-22,23120.0
2021-07-23,23110.0
2021-07-24,23110.0
2021-07-25,23110.0
2021-07-26,23110.0
2021-07-27,23110.0
2021-07-28,23095.0
2021-07-29,23070.0
2021-07-30,23050.0
2021-07-31,23050.0
2021-08-01,23050.0
2021-08-02,23050.0
2021-08-03,23050.0
2021-08-04,23040.0
2021-08-05,23040.0
2021-08-06,23030.0
2021-08-07,23030.0
2021-08-08,23030.0
2021-08-09,23030.0
2021-08-10,23000.0
2021-08-11,22900.0
2021-08-12,22910.0
2021-08-13,22930.0
2021-08-14,22930.0
2021-08-15,22930.0
2021-08-16,22940.0
2021-08-17,22935.0
2021-08-18,22910.0
2021-08-19,22910.0
2021-08-20,22915.0
2021-08-21,22915.0
2021-08-22,22915.0
2021-08-23,22925.0
2021-08-24,22925.0
2021-08-25,22900.0
2021-08-26,22880.0
2021-08-27,22890.0
2021-08-28,22890.0
2021-08-29,22890.0
2021-08-30,22880.0
2021-08-31,22870.0
2021-09-01,22880.0
2021-09-02,22880.0
2021-09-03,22880.0
2021-09-04,22880.0
2021-09-05,22880.0
2021-09-06,22865.0
2021-09-07,22860.0
2021-09-08,22870.0
2021-09-09,22870.0
2021-09-10,22870.0
2021-09-11,22870.0
2021-09-12,22870.0
2021-09-13,22870.0
2021-09-14,22870.0
2021-09-15,22860.0
2021-09-16,22860.0
2021-09-17,22870.0
2021-09-18,22870.0
2021-09-19,22870.0
2021-09-20,22875.0
2021-09-21,22870.0
2021-09-22,22860.0
2021-09-23,22860.0
2021-09-24,22860.0
2021-09-25,22860.0
2021-09-26,22860.0
2021-09-27,22860.0
2021-09-28,22870.0
2021-09-29,22860.0
2021-09-30,22860.0
2021-10-01,22860.0
2021-10-02,22860.0
2021-10-03,22860.0
2021-10-04,22860.0
2021-10-05,22860.0
2021-10-06,22860.0
2021-10-07,22860.0
2021-10-08,22860.0
2021-10-09,22860.0
2021-10-10,22860.0
2021-10-11,22860.0
2021-10-12,22850.0
2021-10-13,22860.0
2021-10-14,22860.0
2021-10-15,22860.0
2021-10-16,22860.0
2021-10-17,22860.0
2021-10-18,22860.0
